nome,genero,freqs 2014,freqs 2015,freqs 2016,freqs 2017
Maria,F,4810,5324,5640,5699
Matilde,F,2062,1889,1835,1639
Leonor,F,1859,1999,1783,1668
Beatriz,F,1378,1268,1154,1259
Mariana,F,1332,1205,1152,1027
Carolina,F,1295,1228,1174,1134
Ana,F,1120,1060,1010,1004
Inês,F,1062,0,939,873
Sofia,F,980,950,958,975
Margarida,F,930,989,912,829
Lara,F,929,916,853,777
Joana,F,708,671,625,517
Laura,F,651,815,707,715
Francisca,F,650,755,898,911
Diana,F,573,574,582,600
Mafalda,F,517,512,458,457
Madalena,F,511,539,567,560
Clara,F,504,600,597,821
Luana,F,500,557,487,405
Sara,F,488,467,415,405
Bianca,F,482,494,449,458
Alice,F,461,623,661,745
Rita,F,444,396,405,370
Íris,F,442,0,431,451
Constança,F,421,0,459,434
Letícia,F,360,0,365,401
Eva,F,350,385,375,343
Gabriela,F,340,354,406,381
Camila,F,326,409,409,463
Yara,F,315,305,248,319
Benedita,F,313,393,482,634
Mara,F,312,491,488,337
Catarina,F,295,322,286,218
Ariana,F,278,275,259,291
Ema,F,244,298,301,294
Vitória,F,243,0,323,435
Marta,F,242,232,184,165
Carlota,F,230,373,367,267
Carlota,F,230,1,367,267
Iara,F,209,173,132,141
Yasmin,F,200,243,249,265
Nicole,F,198,168,153,146
Luísa,F,198,0,296,267
Daniela,F,190,154,148,130
Núria,F,182,0,168,129
Bruna,F,171,154,142,140
Victória,F,163,0,170,200
Alícia,F,157,0,183,177
Rafaela,F,157,191,178,151
Helena,F,151,169,163,223
Miriam,F,150,188,192,128
Lia,F,147,140,142,124
Jéssica,F,147,0,135,82
Filipa,F,146,161,121,126
Júlia,F,143,0,162,181
Érica,F,139,0,92,79
Bárbara,F,139,0,156,106
Teresa,F,137,143,132,148
Isabel,F,137,144,154,138
Raquel,F,130,128,129,106
Kyara,F,121,129,163,150
Melissa,F,112,170,140,144
Valentina,F,107,136,163,202
Carminho,F,107,176,193,245
Juliana,F,101,93,73,85
Adriana,F,98,62,68,62
Noa,F,91,108,135,157
Luna,F,90,99,89,125
Alexandra,F,86,78,75,52
Débora,F,83,0,67,62
Violeta,F,82,27,19,20
Pilar,F,80,87,73,75
Mia,F,78,82,96,97
Mélanie,F,76,0,73,65
Soraia,F,71,64,66,48
Tatiana,F,65,42,37,48
Irina,F,64,77,43,39
Caetana,F,62,67,78,105
Kelly,F,61,94,71,79
Eduarda,F,60,84,63,47
Paloma,F,58,56,32,38
Maiara,F,55,29,22,22
Andreia,F,54,47,31,30
Nádia,F,53,0,36,37
Fabiana,F,53,47,34,40
Luciana,F,53,50,31,38
Renata,F,50,44,40,33
Amélia,F,50,0,56,83
Isabela,F,49,62,68,65
Naiara,F,49,55,49,67
Áurea,F,48,0,62,91
Lorena,F,46,60,62,61
Isis,F,45,102,88,58
Raissa,F,43,26,20,22
Liliana,F,41,28,32,19
Patrícia,F,41,0,33,30
Aline,F,40,32,32,35
Lúcia,F,40,0,25,24
Ângela,F,40,0,25,23
Vera,F,36,32,37,42
Safira,F,36,31,28,46
Salomé,F,36,0,35,33
Rosa,F,35,31,26,44
Doriana,F,35,19,10,6
Nair,F,34,35,31,34
Mónica,F,34,0,26,16
Emília,F,33,0,52,43
Simone,F,33,32,32,23
Flor,F,33,34,28,39
Cláudia,F,32,0,26,26
Emma,F,32,47,38,58
Larissa,F,32,27,39,35
Petra,F,32,45,38,38
Elisa,F,31,26,27,49
Iris,F,31,28,18,27
Olívia,F,31,0,57,85
Serena,F,29,15,20,27
Aurora,F,29,45,68,89
Micaela,F,28,23,23,19
Ester,F,28,32,29,35
Cristiana,F,28,34,16,26
Anita,F,27,35,39,30
Julieta,F,27,38,36,56
Paula,F,27,20,13,15
Isabella,F,27,33,30,45
Liana,F,27,15,15,13
Bia,F,27,31,23,28
Marisa,F,27,20,21,18
Erica,F,25,18,21,14
Cristina,F,25,22,17,21
Carla,F,25,22,24,23
Rebeca,F,24,19,34,16
Elena,F,24,23,15,13
Erika,F,24,24,27,11
Vanessa,F,24,23,20,11
Sophia,F,24,26,24,41
Taís,F,22,0,10,11
Anna,F,22,14,27,19
Cátia,F,22,0,6,16
Verónica,F,22,0,14,27
Tânia,F,21,0,12,10
Eliana,F,21,17,22,17
Cecília,F,21,0,17,13
Sarah,F,21,41,37,32
Liara,F,21,17,18,22
Fátima,F,21,0,22,15
Dânia,F,21,0,21,32
Mayara,F,21,31,35,44
Emily,F,20,20,22,30
Márcia,F,20,0,17,12
Carina,F,20,15,19,16
Sónia,F,19,0,14,10
Aléxia,F,19,0,14,14
Flávia,F,19,0,18,14
Lívia,F,19,0,12,11
Susana,F,19,22,17,16
Carmo,F,18,23,22,22
Eliane,F,18,19,19,21
Anamar,F,18,7,5,9
Alana,F,18,24,24,36
Clarisse,F,18,18,19,22
Solange,F,18,15,14,11
Leticia,F,18,16,5,14
Sílvia,F,17,0,4,9
Isa,F,17,13,13,20
Telma,F,17,16,14,18
Nayara,F,17,16,17,27
Lídia,F,16,0,16,9
Kiara,F,16,11,18,19
Oriana,F,16,14,16,15
Denise,F,16,15,19,10
Liane,F,16,13,13,18
Natacha,F,16,23,9,18
Viviane,F,15,18,20,7
Cíntia,F,15,0,20,18
Frederica,F,15,32,47,49
Rute,F,15,16,19,18
Luz,F,14,19,31,36
Magda,F,14,11,5,6
Antónia,F,14,0,14,11
Neuza,F,14,26,12,23
Tamára,F,14,0,9,13
Marina,F,14,19,14,12
Naíma,F,13,0,7,6
Dalila,F,13,13,30,26
Samira,F,13,12,35,20
Jade,F,13,11,6,17
Angélica,F,13,0,14,10
Angelina,F,13,11,8,11
Milena,F,13,12,16,12
Amália,F,13,0,20,12
Mariama,F,13,8,2,8
Cármen,F,12,0,4,7
Manuela,F,12,8,16,12
Sophie,F,12,6,4,6
Lisandra,F,12,5,7,6
Sandra,F,12,23,12,19
Samara,F,12,9,8,17
Riana,F,12,8,11,11
Mayra,F,12,10,7,8
Elsa,F,12,17,9,16
Sheila,F,12,3,4,3
Valéria,F,12,0,11,19
Maira,F,12,9,8,5
Nina,F,12,14,9,14
Sabrina,F,11,13,8,9
Maya,F,11,15,9,12
Taísa,F,11,0,8,8
Lisa,F,11,10,2,8
Tamara,F,11,18,11,22
Giovana,F,11,15,17,19
Naísa,F,11,0,8,6
Esperança,F,11,0,9,10
Alicia,F,11,21,9,15
Jénifer,F,11,0,11,8
Yasmine,F,10,4,4,15
Leila,F,10,8,12,6
Irene,F,10,12,6,6
Morgana,F,10,12,5,8
Lea,F,10,12,15,13
Victoria,F,10,25,16,30
Giovanna,F,10,9,5,13
Amanda,F,10,18,10,11
Concha,F,10,13,9,5
Cloé,F,10,0,8,10
Ashley,F,10,12,9,9
Anastácia,F,10,0,2,5
Magali,F,9,2,1,3
Daria,F,9,4,12,3
Luisa,F,9,4,8,15
Chloé,F,9,0,8,10
Abigail,F,9,17,25,13
Viviana,F,9,10,9,4
Maísa,F,9,0,11,15
Cloe,F,9,14,9,9
Andrea,F,9,6,5,14
Penélope,F,9,0,8,15
Joice,F,9,4,4,10
Noemi,F,9,15,9,4
Karen,F,9,5,2,8
Vânia,F,9,0,7,14
Jessica,F,9,7,5,7
Angela,F,9,6,2,7
Briana,F,9,13,10,16
Katia,F,9,2,2,3
Luzia,F,9,8,9,8
Célia,F,9,0,1,3
Eunice,F,9,13,7,10
Léa,F,9,0,1,3
Nadine,F,9,5,4,6
Samanta,F,8,10,11,11
Martina,F,8,11,11,10
Alyssa,F,8,6,4,4
Lília,F,8,0,8,4
Ayla,F,8,15,5,16
Esmeralda,F,8,9,10,6
Suéli,F,8,0,6,6
Luena,F,8,94,176,139
Viktoria,F,8,4,2,3
Tiara,F,8,5,5,0
Ariele,F,8,6,11,13
Lua,F,8,9,9,5
Fernanda,F,8,8,4,8
Estela,F,8,8,8,5
Chloe,F,8,6,30,47
Aisha,F,8,10,10,14
Heloísa,F,7,0,2,15
Gaia,F,7,6,2,4
Brenda,F,7,14,10,10
Elisabete,F,7,8,5,8
Martinha,F,7,5,7,3
Gisela,F,7,8,2,5
Ísis,F,7,0,9,13
