,nome,genero,freqs 2014,freqs 2015,freqs 2016,freqs 2017
0,Maria,F,4810,5324,5640,5699
1,Matilde,F,2062,1889,1835,1639
2,Leonor,F,1859,1999,1783,1668
3,Beatriz,F,1378,1268,1154,1259
4,Mariana,F,1332,1205,1152,1027
5,Carolina,F,1295,1228,1174,1134
6,Ana,F,1120,1060,1010,1004
7,Inês,F,1062,0,939,873
8,Sofia,F,980,950,958,975
9,Margarida,F,930,989,912,829
10,Lara,F,929,916,853,777
11,Joana,F,708,671,625,517
12,Laura,F,651,815,707,715
13,Francisca,F,650,755,898,911
14,Diana,F,573,574,582,600
15,Mafalda,F,517,512,458,457
16,Madalena,F,511,539,567,560
17,Clara,F,504,600,597,821
18,Luana,F,500,557,487,405
19,Sara,F,488,467,415,405
20,Bianca,F,482,494,449,458
21,Alice,F,461,623,661,745
22,Rita,F,444,396,405,370
23,Íris,F,442,0,431,451
24,Constança,F,421,0,459,434
25,Letícia,F,360,0,365,401
26,Eva,F,350,385,375,343
27,Gabriela,F,340,354,406,381
28,Camila,F,326,409,409,463
29,Yara,F,315,305,248,319
30,Benedita,F,313,393,482,634
31,Mara,F,312,491,488,337
32,Catarina,F,295,322,286,218
33,Ariana,F,278,275,259,291
34,Ema,F,244,298,301,294
35,Vitória,F,243,0,323,435
36,Marta,F,242,232,184,165
37,Carlota,F,230,373,367,267
38,Carlota,F,230,1,367,267
39,Iara,F,209,173,132,141
40,Yasmin,F,200,243,249,265
41,Nicole,F,198,168,153,146
42,Luísa,F,198,0,296,267
43,Daniela,F,190,154,148,130
44,Núria,F,182,0,168,129
45,Bruna,F,171,154,142,140
46,Victória,F,163,0,170,200
47,Alícia,F,157,0,183,177
48,Rafaela,F,157,191,178,151
49,Helena,F,151,169,163,223
50,Miriam,F,150,188,192,128
51,Lia,F,147,140,142,124
52,Jéssica,F,147,0,135,82
53,Filipa,F,146,161,121,126
54,Júlia,F,143,0,162,181
55,Érica,F,139,0,92,79
