,nome,genero,freqs 2014,freqs 2015,freqs 2016,freqs 2017,total freqs,Ratio F14,Ratio F15,Ratio F16,Ratio F17
7795,João,M,1809,1932,1773,1708,7222,0.12420185375901133,0.1308234019501625,0.12252937111264686,0.11726742190181944
7799,Santiago,M,1428,1632,2084,1914,7058,0.098043254376931,0.1105092091007584,0.14402211472011056,0.1314109165808445
7797,Francisco,M,1718,1593,1687,1772,6770,0.11795399931342258,0.10786836403033587,0.1165860400829302,0.12166151733607965
7796,Rodrigo,M,1783,1666,1553,1420,6422,0.12241675248884312,0.11281148429035753,0.10732550103662751,0.09749399244764848
7798,Martim,M,1663,1778,1497,1334,6272,0.11417782354960522,0.12039544962080173,0.10345542501727713,0.09158942670786131
7801,Afonso,M,1378,1439,1354,1479,5650,0.09461036731891521,0.09744041170097509,0.09357290946786455,0.1015447991761071
7803,Miguel,M,1208,1271,1192,1201,4872,0.08293855132166152,0.08606446370530878,0.08237733241188666,0.08245794713353931
7802,Duarte,M,1244,1127,1177,1220,4768,0.08541023000343288,0.07631365113759479,0.08134070490670352,0.0837624442155853
7808,Gabriel,M,1128,1143,1111,1182,4564,0.07744593202883625,0.07739707475622969,0.07677954388389772,0.08115345005149331
7804,Guilherme,M,1206,1187,1042,1008,4443,0.08280123583934089,0.08037648970747563,0.07201105736005528,0.06920700308959835
