,actor,character,status
0,Sofia,Mariana,Protagonista
1,Fernanda,Camila,Protagonista
2,Jessica,Bárbara,Protagonista
3,Paula,Diana,Protagonista
4,Maria,Margarida,Protagonista
5,Susana,Cláudia,Protagonista
6,Gabriela,Flávia,Protagonista
7,Albano,Guilherme,Coadjuvante
8,Inês,Eduarda,nan
9,David,Sérgio,nan
10,João,Manuel,Antagonista
11,João,Vicente,Antagonista
12,Cristina,Ester,nan
13,Pedro,Alberto,Coadjuvante
14,Sofia,Mónica,nan
15,Luís,Jorge,Antagonista
16,Carmen,Quitéria,co-Antagonista
17,Afonso,Maurício,Antagonista
18,Virgílio,Hélder,nan
19,Maria,Ângela,nan
20,Manuel,Armando,Antagonista
21,Júlia,Carla,nan
22,Gustavo,Gaspar,nan
23,Hugo,Telmo,nan
24,Diogo,Óscar,nan
25,Afonso,Daniel,nan
26,Sérgio,Renato,nan
27,João,Emílio,nan
28,Daniela,Viviana,nan
29,Leonardo,César,nan
30,Afonso,Fábio,nan
31,Lucinda,Jacinta,nan
32,Margarida,Clarinha,nan
